game_id,white_username,black_username,white_rating,black_rating,white_rating_diff,black_rating_diff,white_accuracy,black_accuracy,winner,status,perf_type,variant,opening_eco,opening_name,opening_ply,time_control_initial,time_control_increment,created_at,last_move_at,ingested_at
WGJV5DRb,stevenhan,Mein_letzter_Flug,2184,2144.0,-14.0,7.0,79,84,black,mate,rapid,standard,D34,Tarrasch Defense: Classical Variation,16,600,5,1768875105275,1768877105085,2026-06-11 00:42:39.763237+00:00
whq08Epc,MFAmhedC,stevenhan,2114,2200.0,20.0,-16.0,92,90,white,resign,rapid,standard,C10,"French Defense: Rubinstein Variation, Blackburne Defense",8,600,5,1768788437854,1768789904834,2026-06-11 00:42:39.763237+00:00
K32rUkvS,stevenhan,TruongSonVn10,2184,2259.0,16.0,-22.0,85,74,white,resign,rapid,standard,A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",3,600,5,1768700017799,1768701486931,2026-06-11 00:42:39.763237+00:00
P8buBILB,Klapaucjus,stevenhan,2118,2186.0,2.0,-2.0,96,96,,draw,rapid,standard,C10,"French Defense: Rubinstein Variation, Blackburne Defense",8,600,5,1768609623505,1768611484237,2026-06-11 00:42:39.763237+00:00
MZKDVf3t,Nahualyk,stevenhan,2105,2204.0,8.0,-18.0,94,80,white,outoftime,rapid,standard,C00,French Defense: Réti-Spielmann Attack,3,600,5,1768532129254,1768533326867,2026-06-11 00:42:39.763237+00:00
qspbeK9s,stevenhan,domingopappa,2190,2185.0,14.0,-5.0,96,92,white,resign,rapid,standard,A36,"English Opening: Symmetrical Variation, Botvinnik System",9,600,5,1768449762401,1768451221341,2026-06-11 00:42:39.763237+00:00
JwmDlPJF,domingopappa,stevenhan,2179,2205.0,6.0,-15.0,97,72,white,mate,rapid,standard,C10,"French Defense: Rubinstein Variation, Blackburne Defense",8,600,5,1768449355514,1768449756273,2026-06-11 00:42:39.763237+00:00
hX9m9UOi,stevenhan,VihaanP30,2212,2066.0,-7.0,4.0,91,91,,draw,rapid,standard,C00,French Defense: Steiner Variation,3,600,5,1768358828964,1768360540619,2026-06-11 00:42:39.763237+00:00
Eohxem4N,stevenhan,Noshoes,2200,2104.0,12.0,-4.0,87,80,white,resign,rapid,standard,C00,French Defense: Steiner Variation,3,600,5,1768187616277,1768188946092,2026-06-11 00:42:39.763237+00:00
mgNvP6Cf,Fishtaco77,stevenhan,2090,2187.0,-5.0,13.0,85,95,black,resign,rapid,standard,C10,"French Defense: Rubinstein Variation, Blackburne Defense",8,600,5,1768108019706,1768108698303,2026-06-11 00:42:39.763237+00:00
SHFG77Qy,stevenhan,CestPasGijon,2213,2061.0,-26.0,11.0,82,88,black,resign,rapid,standard,A10,English Opening: Anglo-Dutch Defense,2,600,5,1768019466452,1768020796597,2026-06-11 00:42:39.763237+00:00
J0uMuZkY,Nabil2016,stevenhan,2387,2213.0,6.0,-9.0,99,90,white,resign,rapid,standard,C10,"French Defense: Rubinstein Variation, Blackburne Defense",8,600,5,1767672490762,1767673618184,2026-06-11 00:42:39.763237+00:00
cqgbDBuk,Mulak_Ma_Ho,stevenhan,2371,2205.0,-3.0,8.0,89,89,,draw,rapid,standard,C00,French Defense: King's Indian Attack,3,600,5,1764553172600,1764554898898,2026-06-11 00:42:39.763237+00:00
SBDe3ek5,SinRostro,stevenhan,2355,2215.0,5.0,-10.0,89,82,white,resign,rapid,standard,D53,Queen's Gambit Declined,8,600,5,1763946734044,1763948300269,2026-06-11 00:42:39.763237+00:00
APtuyYz1,healyourlife,stevenhan,2205,2233.0,7.0,-18.0,95,91,white,resign,rapid,standard,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation",9,600,5,1763433995996,1763435518465,2026-06-11 00:42:39.763237+00:00
cRaPOprh,stevenhan,best1208,2246,2344.0,-13.0,6.0,91,97,black,resign,rapid,standard,A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",3,600,5,1763344925756,1763346439062,2026-06-11 00:42:39.763237+00:00
CGfnBZa5,blindpant,stevenhan,2231,2244.0,-8.0,19.0,79,91,black,resign,rapid,standard,C02,"French Defense: Advance Variation, Euwe Variation",10,600,5,1762916461212,1762917641371,2026-06-11 00:42:39.763237+00:00
OlAdWpM6,stevenhan,Wowzerspike,2252,2225.0,19.0,-7.0,93,86,white,mate,rapid,standard,A34,"English Opening: Symmetrical Variation, Fianchetto Variation",5,600,5,1762569780337,1762570985397,2026-06-11 00:42:39.763237+00:00
WtHzLqnH,stevenhan,ChessTactics64,2267,2252.0,-26.0,6.0,89,95,black,resign,rapid,standard,A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",3,600,5,1762114678048,1762116018891,2026-06-11 00:42:39.763237+00:00
XbrpqKxk,PriyaRangAcademy,stevenhan,2244,2240.0,-7.0,27.0,76,91,black,resign,rapid,standard,A05,King's Indian Attack,4,600,5,1762049912086,1762050793212,2026-06-11 00:42:39.763237+00:00
wIoeTXID,stevenhan,spectrezee,2241,2234.0,34.0,-9.0,95,84,white,resign,rapid,standard,C00,French Defense: Steiner Variation,3,600,0,1755015951349,1755016425443,2026-06-11 00:42:39.763237+00:00
9aF3VV33,stevenhan,Schachfanatiker,2258,2362.0,-17.0,5.0,81,94,black,resign,rapid,standard,C00,French Defense: Steiner Variation,3,600,5,1735507676932,1735508849605,2026-06-11 00:42:39.763237+00:00
WyBuHGGG,urosixers234,stevenhan,2358,2258.0,20.0,-17.0,96,88,white,resign,rapid,standard,B12,"Caro-Kann Defense: Advance Variation, Short Variation",7,900,10,1734871907464,1734873580187,2026-06-11 00:42:39.763237+00:00
jghr11lo,stevenhan,Yan51,2264,2179.0,-6.0,1.0,88,87,,draw,rapid,standard,A34,"English Opening: Symmetrical Variation, Rubinstein Variation",12,600,5,1734291780439,1734293267235,2026-06-11 00:42:39.763237+00:00
7nC5Flxg,rishang,stevenhan,2260,2290.0,94.0,-26.0,86,72,white,resign,rapid,standard,A01,Nimzo-Larsen Attack: Classical Variation,2,600,5,1734111857388,1734112871778,2026-06-11 00:42:39.763237+00:00
