game_id,move_offset,eval_score,mate_in,best_move,variation,judgment,time_left_cs,time_left_ratio,ingested_at
WGJV5DRb,0,12.0,,,,,60003.0,1.0,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,1,14.0,,,,,60003.0,1.0,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,2,12.0,,,,,60179.0,1.003,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,3,20.0,,,,,56907.0,0.9485,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,4,-9.0,,,,,59891.0,0.9982,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,5,-10.0,,,,,56539.0,0.9423,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,6,-18.0,,,,,59387.0,0.9898,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,7,-13.0,,,,,56563.0,0.9427,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,8,-25.0,,,,,59763.0,0.996,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,9,-25.0,,,,,56171.0,0.9362,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,10,-22.0,,,,,59995.0,0.9999,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,11,-21.0,,,,,56379.0,0.9396,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,12,-27.0,,,,,57899.0,0.965,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,13,27.0,,,,,55691.0,0.9282,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,14,28.0,,,,,57051.0,0.9508,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,15,35.0,,,,,56011.0,0.9335,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,16,2.0,,,,,51915.0,0.8652,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,17,-2.0,,,,,55715.0,0.9286,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,18,-8.0,,,,,51771.0,0.8629,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,19,30.0,,,,,55075.0,0.9179,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,20,39.0,,,,,47155.0,0.7859,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,21,46.0,,,,,53835.0,0.8972,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,22,37.0,,,,,42611.0,0.7102,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,23,204.0,,e6f5,Bf5 a3,Mistake,49747.0,0.8291,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,24,234.0,,,,,41307.0,0.6885,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,25,330.0,,f6e4,Ne4 Bxe4 dxe4 f5 Bc8 Qc2 Bd7 f6 gxf6 Rad1 fxe5 Qxe4,Inaccuracy,47323.0,0.7887,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,26,286.0,,,,,37667.0,0.6278,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,27,366.0,,a8c8,Rc8 Qd2 Bxd5 Bxd5 Bc5 Rad1 Qe7 Bxc5 Qxc5+ Qd4 b5 Qxc5,Inaccuracy,44483.0,0.7414,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,28,343.0,,,,,34827.0,0.5805,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,29,344.0,,,,,39971.0,0.6662,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,30,250.0,,d1d4,Qd4 Rac8 Rac1 b5 Qxa7 Qxa7 Bxa7 Rfd8 Rfd1 Nf8 Be3 Ne6,Inaccuracy,31899.0,0.5317,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,31,255.0,,,,,39563.0,0.6594,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,32,248.0,,,,,31859.0,0.531,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,33,247.0,,,,,39947.0,0.6658,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,34,250.0,,,,,29563.0,0.4927,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,35,289.0,,,,,35187.0,0.5865,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,36,205.0,,a1d1,Rad1 Rac8 Bd5 b5 Qf5 Ne6 Qe4 Re8 h4 Bc5 Bd2 Qb6,Inaccuracy,28299.0,0.4717,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,37,185.0,,,,,35059.0,0.5843,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,38,176.0,,,,,25947.0,0.4325,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,39,188.0,,,,,35075.0,0.5846,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,40,179.0,,,,,25851.0,0.4309,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,41,166.0,,,,,35347.0,0.5891,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,42,115.0,,,,,24179.0,0.403,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,43,130.0,,,,,34851.0,0.5808,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,44,45.0,,c2e2,Qe2 Bb6 Rad1 Ba5 Bxa5 Qxa5 h4 Qb6 h5 a5 Bf5 Rb8,Inaccuracy,21187.0,0.3531,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,45,35.0,,,,,34755.0,0.5793,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,46,2.0,,,,,20667.0,0.3444,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,47,0.0,,,,,34923.0,0.5821,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,48,1.0,,,,,19075.0,0.3179,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,49,1.0,,,,,35427.0,0.5904,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,50,1.0,,,,,17707.0,0.2951,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,51,42.0,,,,,35467.0,0.5911,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,52,-290.0,,e1d1,Rd1 c3,Blunder,16683.0,0.2781,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,53,-299.0,,,,,34403.0,0.5734,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,54,-385.0,,d2b4,Bxb4 Nxe4 Qxe4 Bxb4 Rd1 Re8 Rd5 Qb7 Rd4 Qxe4+ Rxe4 Bf8,Inaccuracy,15859.0,0.2643,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,55,4.0,,c5e4,Nxe4 Qxe4 Rxd2+ Kh3 Bf8 e6 fxe6 Ra1 Kh8 Ra4 Qd7 fxg7+,Blunder,34475.0,0.5746,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,56,-130.0,,f6g7,fxg7 Bxg7 Bxb4 Nxe4 Qxe4 Qxe5 Qxe5 Bxe5 Re2 Rb8 Be7 Re8,Mistake,14355.0,0.2393,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,57,-145.0,,,,,34763.0,0.5794,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,58,-272.0,,h7f5,Bf5 Ra8 fxg7+ Bxg7 Bc1 c3 Qe2 Ra2 Rd1 Rxd1 Rxd1 Bxe5,Mistake,11531.0,0.1922,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,59,-195.0,,b4b3,b3 Qf5 Nd3 e4 c3 fxg7+ Bxg7 Qh5 Nxe1+ Kh3 Qxe5 Bf5,Inaccuracy,34379.0,0.573,2026-06-10 03:30:40.668844+00:00
WGJV5DRb,60,-192.0,,,,,10003.0,0.1667,2026-06-10 03:30:40.668844+00:00
