game_id,move_offset,move_number,color,username,move_san,ingested_at
WGJV5DRb,0,1,white,stevenhan,c4,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,1,1,black,Mein_letzter_Flug,Nf6,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,2,2,white,stevenhan,Nc3,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,3,2,black,Mein_letzter_Flug,e6,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,4,3,white,stevenhan,g3,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,5,3,black,Mein_letzter_Flug,d5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,6,4,white,stevenhan,cxd5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,7,4,black,Mein_letzter_Flug,exd5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,8,5,white,stevenhan,d4,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,9,5,black,Mein_letzter_Flug,Be7,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,10,6,white,stevenhan,Bg2,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,11,6,black,Mein_letzter_Flug,O-O,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,12,7,white,stevenhan,Nf3,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,13,7,black,Mein_letzter_Flug,c5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,14,8,white,stevenhan,O-O,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,15,8,black,Mein_letzter_Flug,Nc6,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,16,9,white,stevenhan,h3,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,17,9,black,Mein_letzter_Flug,h6,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,18,10,white,stevenhan,Be3,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,19,10,black,Mein_letzter_Flug,c4,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,20,11,white,stevenhan,Ne5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,21,11,black,Mein_letzter_Flug,Be6,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,22,12,white,stevenhan,f4,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,23,12,black,Mein_letzter_Flug,Nxe5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,24,13,white,stevenhan,dxe5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,25,13,black,Mein_letzter_Flug,Nh7,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,26,14,white,stevenhan,Nxd5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,27,14,black,Mein_letzter_Flug,Bxd5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,28,15,white,stevenhan,Bxd5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,29,15,black,Mein_letzter_Flug,Qc7,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,30,16,white,stevenhan,Be4,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,31,16,black,Mein_letzter_Flug,Rfd8,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,32,17,white,stevenhan,Qc2,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,33,17,black,Mein_letzter_Flug,Nf8,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,34,18,white,stevenhan,Kg2,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,35,18,black,Mein_letzter_Flug,a6,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,36,19,white,stevenhan,Bd2,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,37,19,black,Mein_letzter_Flug,Rac8,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,38,20,white,stevenhan,Bc3,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,39,20,black,Mein_letzter_Flug,b5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,40,21,white,stevenhan,a3,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,41,21,black,Mein_letzter_Flug,Ne6,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,42,22,white,stevenhan,e3,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,43,22,black,Mein_letzter_Flug,Bc5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,44,23,white,stevenhan,Rae1,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,45,23,black,Mein_letzter_Flug,a5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,46,24,white,stevenhan,h4,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,47,24,black,Mein_letzter_Flug,b4,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,48,25,white,stevenhan,axb4,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,49,25,black,Mein_letzter_Flug,axb4,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,50,26,white,stevenhan,Bd2,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,51,26,black,Mein_letzter_Flug,Be7,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,52,27,white,stevenhan,f5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,53,27,black,Mein_letzter_Flug,Nc5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,54,28,white,stevenhan,f6,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,55,28,black,Mein_letzter_Flug,Bf8,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,56,29,white,stevenhan,Bh7+,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,57,29,black,Mein_letzter_Flug,Kh8,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,58,30,white,stevenhan,Bc1,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,59,30,black,Mein_letzter_Flug,Qxe5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,60,31,white,stevenhan,Bf5,2026-06-11 00:42:39.763237+00:00
WGJV5DRb,61,31,black,Mein_letzter_Flug,Ne6,2026-06-11 00:42:39.763237+00:00
